userId,movieId,rating,timestamp,year,month
4708,32,3.0,1996-11-24 10:16:59,1996,11
3590,1089,4.0,2019-05-20 19:49:28,2019,5
5417,175,3.0,1996-05-13 15:20:45,1996,5
1082,741,4.0,2001-09-19 03:47:55,2001,9
897,104925,3.0,2014-06-30 22:55:47,2014,6
995,39292,3.0,2016-01-04 21:35:52,2016,1
461,43560,3.5,2020-08-28 21:18:33,2020,8
4818,5093,3.0,2013-12-03 09:31:06,2013,12
4961,250546,3.5,2022-01-26 09:48:20,2022,1
5543,3208,2.0,2000-02-03 23:03:35,2000,2
4605,119141,2.5,2016-02-23 15:06:37,2016,2
6116,2202,4.0,2008-09-21 22:02:51,2008,9
53,3175,4.0,2005-12-21 17:39:48,2005,12
3951,27643,2.0,2012-11-12 21:35:11,2012,11
5612,99114,3.5,2013-02-06 15:28:48,2013,2
5773,1387,4.0,2003-12-16 15:41:49,2003,12
1541,6537,3.5,2017-08-12 01:27:36,2017,8
2676,1219,4.5,2015-08-17 00:57:54,2015,8
4493,3751,3.5,2019-11-15 05:36:09,2019,11
964,327,2.0,2012-02-20 08:19:52,2012,2
1312,8957,1.0,2018-04-09 05:50:10,2018,4
2332,8128,4.0,2005-04-03 06:13:10,2005,4
4158,5218,3.5,2006-06-02 00:42:37,2006,6
5612,7335,3.0,2013-03-07 23:28:49,2013,3
884,56174,5.0,2015-08-30 04:32:00,2015,8
3732,3671,4.0,2002-12-08 20:03:28,2002,12
3941,3107,2.0,2011-04-21 14:14:40,2011,4
965,377,4.0,1996-09-22 16:01:40,1996,9
2899,1466,5.0,2003-05-23 14:54:39,2003,5
2654,157312,4.0,2019-10-28 02:17:07,2019,10
5948,640,3.0,1997-02-01 21:22:03,1997,2
5415,8529,2.5,2017-02-22 05:35:20,2017,2
7010,224220,2.5,2022-06-26 23:40:08,2022,6
4942,49278,3.5,2015-11-04 14:08:07,2015,11
418,7451,1.0,2015-07-21 19:33:06,2015,7
5114,3114,5.0,2014-09-14 01:44:51,2014,9
4880,4467,2.5,2006-04-02 18:45:12,2006,4
1020,5459,3.5,2015-08-31 09:39:12,2015,8
6508,88140,3.5,2015-10-26 10:28:16,2015,10
2289,1089,5.0,2002-03-18 06:06:05,2002,3
30,4011,4.5,2019-08-23 07:18:39,2019,8
5194,736,3.0,2013-01-05 06:57:50,2013,1
5684,3977,3.0,2011-02-19 12:01:43,2011,2
5249,103141,4.5,2015-12-28 19:22:44,2015,12
2003,2006,3.0,2002-05-29 11:29:52,2002,5
2270,8025,4.0,2008-01-08 17:37:26,2008,1
4921,1091,4.0,1997-02-28 10:01:21,1997,2
3653,3882,1.5,2016-02-22 22:22:22,2016,2
4605,4807,2.0,2016-03-05 16:39:48,2016,3
2778,27773,3.5,2015-08-17 14:18:11,2015,8
3884,2431,2.5,2016-05-08 08:13:09,2016,5
4142,2883,3.0,1999-10-14 23:58:37,1999,10
2066,1994,3.0,2000-05-03 17:56:18,2000,5
5543,2023,4.0,2000-02-03 23:22:21,2000,2
305,1234,4.0,2017-08-30 18:51:08,2017,8
5619,8636,4.0,2012-08-29 02:13:05,2012,8
2672,21,3.5,2015-09-12 05:24:02,2015,9
5877,344,5.0,1996-10-15 21:54:09,1996,10
4388,942,4.0,1999-12-27 18:31:02,1999,12
2272,162322,3.0,2018-01-23 16:27:20,2018,1
719,79132,2.5,2019-03-04 23:48:01,2019,3
489,26776,3.5,2016-01-07 01:34:37,2016,1
4115,2719,1.0,2003-01-28 18:03:52,2003,1
3023,5577,4.5,2003-12-10 20:36:50,2003,12
1637,34319,5.0,2016-01-12 19:16:58,2016,1
2234,11,4.0,1996-06-23 16:55:20,1996,6
3899,2300,3.5,2006-12-08 21:57:56,2006,12
4825,132496,4.0,2015-11-11 02:10:44,2015,11
6386,2022,3.5,2018-12-16 09:08:13,2018,12
6794,3824,2.0,2004-08-04 06:13:38,2004,8
5207,2677,3.0,2003-03-11 17:19:15,2003,3
6359,1393,3.5,2004-10-19 05:00:34,2004,10
2538,3785,3.0,2020-09-15 18:30:50,2020,9
3262,153,4.0,1996-07-04 11:01:47,1996,7
4898,88163,2.5,2016-08-20 18:30:36,2016,8
6760,551,4.0,1999-10-02 08:07:50,1999,10
1498,130073,2.5,2021-02-15 05:14:49,2021,2
2132,217465,4.0,2021-11-08 03:03:11,2021,11
5316,1210,4.0,2007-11-07 01:47:48,2007,11
6631,1097,5.0,2007-08-21 01:48:16,2007,8
2728,910,3.5,2018-12-04 04:03:41,2018,12
5665,316,3.0,1996-05-12 01:22:21,1996,5
6416,2232,4.0,2003-12-05 02:30:30,2003,12
6318,653,2.5,2004-06-03 05:59:30,2004,6
6440,4326,4.0,2001-08-01 02:36:06,2001,8
3791,34150,1.5,2022-01-09 03:12:13,2022,1
2012,60069,4.0,2017-08-10 07:55:42,2017,8
2044,2410,3.0,2001-02-22 04:27:12,2001,2
165,1234,5.0,2015-05-08 11:02:46,2015,5
6664,115678,3.5,2014-12-07 21:10:48,2014,12
2926,8641,4.5,2007-01-17 19:35:41,2007,1
